Date,Home,Score,Away,Result,W,D,L,Pts,Poss,Gls,Ast,CrdY,CrdR,GlsPer90,AstPer90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,GA,GA90,SoTA,Saves,Save%,CS,CS%,Cmp%,KP,1/3,Prog,SCA,SCA90,PassLiveSCA,DribSCA,ShSCA,DefSCA,GCA,GCA90,PassLiveGCA,DribGCA,ShGCA,DefGCA,TklW,Blocks,Int,Err,Live,Miscon
2019-08-17,Arsenal,2 - 1,Burnley,W,-1.000000,5.000000,-4.000000,2.000000,12.600000,15.000000,5.000000,21.000000,5.000000,0.390000,0.130000,17.000000,20.000000,3.600000,0.440000,0.530000,0.030000,0.060000,-2.000000,-0.060000,30.000000,31.000000,0.072000,-5.000000,-13.200000,12.800000,22.000000,343.000000,426.000000,62.000000,1.630000,44.000000,24.000000,0.000000,3.000000,20.000000,0.520000,14.000000,1.000000,4.000000,4.000000,33.000000,-98.000000,-8.000000,9.000000,5505.000000,42.000000
2019-08-17,Southampton,1 - 2,Liverpool,L,-17.000000,4.000000,13.000000,-47.000000,-14.100000,-32.000000,-37.000000,17.000000,3.000000,-0.840000,-0.980000,-88.000000,-53.000000,-3.900000,-2.310000,-1.390000,-0.030000,-0.060000,27.000000,0.710000,56.000000,32.000000,-0.051000,-6.000000,-15.800000,-9.300000,-103.000000,-753.000000,-698.000000,-170.000000,-4.470000,-178.000000,-11.000000,2.000000,10.000000,-69.000000,-1.810000,-57.000000,-4.000000,0.000000,1.000000,108.000000,213.000000,49.000000,10.000000,-7428.000000,37.000000
2019-08-17,Norwich City,3 - 1,Newcastle Utd,W,-6.000000,-5.000000,11.000000,-23.000000,10.700000,-13.000000,-11.000000,2.000000,0.000000,-0.340000,-0.290000,12.000000,-3.000000,-1.700000,0.310000,-0.080000,-0.040000,-0.110000,17.000000,0.440000,11.000000,-5.000000,-0.058000,-6.000000,-15.700000,6.000000,6.000000,119.000000,243.000000,56.000000,1.480000,50.000000,3.000000,7.000000,3.000000,-22.000000,-0.580000,-13.000000,0.000000,-4.000000,0.000000,41.000000,75.000000,-23.000000,5.000000,4236.000000,26.000000
2019-08-17,Brighton,1 - 1,West Ham,D,-1.000000,5.000000,-4.000000,2.000000,8.200000,-14.000000,-12.000000,-5.000000,1.000000,-0.370000,-0.320000,42.000000,-20.000000,-7.900000,1.110000,-0.520000,-0.040000,-0.040000,-8.000000,-0.210000,-14.000000,-10.000000,0.003000,2.000000,5.300000,5.200000,9.000000,119.000000,251.000000,47.000000,1.240000,41.000000,2.000000,7.000000,6.000000,-18.000000,-0.480000,-15.000000,-1.000000,-4.000000,1.000000,-61.000000,-2.000000,8.000000,5.000000,3306.000000,75.000000
2019-08-17,Everton,1 - 0,Watford,W,5.000000,0.000000,-5.000000,15.000000,6.700000,7.000000,11.000000,-4.000000,0.000000,0.190000,0.290000,55.000000,41.000000,5.500000,1.450000,1.080000,0.020000,0.010000,-8.000000,-0.210000,-21.000000,-14.000000,-0.029000,0.000000,0.000000,4.400000,29.000000,145.000000,273.000000,64.000000,1.690000,12.000000,4.000000,19.000000,-3.000000,13.000000,0.350000,13.000000,3.000000,4.000000,-4.000000,-6.000000,-36.000000,-32.000000,-2.000000,1826.000000,44.000000
2019-08-17,Aston Villa,1 - 2,Bournemouth,L,0.000000,1.000000,-1.000000,1.000000,0.100000,2.000000,8.000000,-8.000000,-2.000000,0.050000,0.210000,69.000000,30.000000,2.000000,1.810000,0.790000,0.000000,-0.020000,2.000000,0.050000,-7.000000,-9.000000,-0.024000,2.000000,5.200000,0.300000,94.000000,-9.000000,-35.000000,194.000000,5.110000,156.000000,4.000000,-3.000000,9.000000,10.000000,0.270000,14.000000,0.000000,-6.000000,2.000000,39.000000,22.000000,-34.000000,15.000000,-976.000000,-112.000000
2019-08-17,Manchester City,2 - 2,Tottenham,D,10.000000,-8.000000,-2.000000,22.000000,14.700000,44.000000,30.000000,-20.000000,1.000000,1.160000,0.790000,291.000000,91.000000,-1.600000,7.660000,2.390000,0.010000,0.040000,-12.000000,-0.320000,-65.000000,-57.000000,-0.055000,9.000000,23.600000,7.500000,231.000000,774.000000,724.000000,518.000000,13.630000,409.000000,40.000000,31.000000,0.000000,79.000000,2.080000,61.000000,2.000000,0.000000,4.000000,-80.000000,-216.000000,-32.000000,8.000000,7433.000000,-78.000000
2019-08-18,Sheffield Utd,1 - 0,Crystal Palace,W,3.000000,2.000000,-5.000000,11.000000,-1.400000,7.000000,5.000000,1.000000,0.000000,0.190000,0.130000,-19.000000,-7.000000,-0.300000,-0.500000,-0.180000,0.030000,0.100000,-11.000000,-0.290000,-28.000000,-17.000000,0.026000,3.000000,7.900000,-2.700000,13.000000,134.000000,19.000000,19.000000,0.500000,60.000000,-17.000000,6.000000,-4.000000,5.000000,0.130000,7.000000,0.000000,4.000000,0.000000,-38.000000,-57.000000,-17.000000,-1.000000,156.000000,-91.000000
2019-08-18,Chelsea,1 - 1,Leicester City,D,2.000000,-2.000000,0.000000,4.000000,3.100000,4.000000,-2.000000,17.000000,-3.000000,0.110000,-0.050000,86.000000,29.000000,-0.100000,2.260000,0.770000,-0.010000,-0.030000,13.000000,0.340000,-11.000000,-30.000000,-0.190000,-4.000000,-10.500000,2.300000,55.000000,245.000000,184.000000,114.000000,3.000000,114.000000,-11.000000,6.000000,-4.000000,-4.000000,-0.110000,-11.000000,1.000000,6.000000,-2.000000,-29.000000,-25.000000,-41.000000,-4.000000,3352.000000,7.000000
2019-08-19,Wolves,1 - 1,Manchester Utd,D,-3.000000,2.000000,1.000000,-7.000000,-7.900000,-16.000000,-9.000000,-12.000000,2.000000,-0.420000,-0.240000,-75.000000,-58.000000,-6.600000,-1.970000,-1.520000,0.000000,0.040000,4.000000,0.100000,-5.000000,-12.000000,-0.061000,0.000000,0.000000,-4.300000,-74.000000,-347.000000,-1392.000000,-200.000000,-5.260000,-224.000000,14.000000,5.000000,10.000000,-17.000000,-0.450000,-28.000000,0.000000,7.000000,3.000000,64.000000,-24.000000,-37.000000,-6.000000,-3244.000000,-6.000000
