Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
38,Patrick Bamford\Patrick-Bamford,eng ENG,FWMF,Burnley,22,1993,6,0,39,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Middlesbrough,22,1993,8,2,287,1,0,0,0,1,0,0.31,0.00,0.31,0.31,0.31,Matches
40,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Stoke City,31,1985,15,14,1168,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches
41,Ross Barkley\Ross-Barkley,eng ENG,MFFW,Everton,22,1993,36,32,2899,5,8,0,0,5,0,0.16,0.25,0.40,0.16,0.40,Matches
42,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,26,1989,28,20,1773,6,2,2,2,7,2,0.30,0.10,0.41,0.20,0.30,Matches
43,Antonio Barragán\Antonio-Barragan,es ESP,DF,Middlesbrough,29,1987,26,26,2193,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Modou Barrow\Modou-Barrow,gm GAM,MFFW,Swansea City,23,1992,18,12,1145,0,2,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
45,Gareth Barry\Gareth-Barry,eng ENG,MF,Everton,35,1981,33,23,2108,2,1,0,0,10,0,0.09,0.04,0.13,0.09,0.13,Matches
46,Joey Barton\Joey-Barton,eng ENG,MF,Burnley,33,1982,14,12,1105,1,0,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches
47,Borja Bastón\Borja-Baston,es ESP,FW,Swansea City,23,1992,18,4,561,1,0,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches
48,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,22,1993,20,1,254,5,1,0,0,0,0,1.77,0.35,2.13,1.77,2.13,Matches
49,Asmir Begović\Asmir-Begovic,ba BIH,GK,Chelsea,29,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Valon Behrami\Valon-Behrami,ch SUI,MF,Watford,31,1985,27,26,2030,0,2,0,0,7,0,0.00,0.09,0.09,0.00,0.09,Matches
51,Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,21,1995,33,27,2503,1,4,0,0,4,0,0.04,0.14,0.18,0.04,0.18,Matches
52,Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,29,1987,11,11,917,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
53,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,25,1990,36,36,3131,15,2,2,4,10,0,0.43,0.06,0.49,0.37,0.43,Matches
54,Jonathan Benteke\Jonathan-Benteke,be BEL,FW,Crystal Palace,21,1995,1,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Saido Berahino\Saido-Berahino,bi BDI,FW,West Brom,22,1993,4,3,243,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Saido Berahino\Saido-Berahino,bi BDI,FW,Stoke City,22,1993,13,8,720,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,25,1990,20,10,998,1,2,0,0,1,0,0.09,0.18,0.27,0.09,0.27,Matches
58,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,26,1989,28,28,2507,2,3,0,0,3,0,0.07,0.11,0.18,0.07,0.18,Matches
59,Mame Biram Diouf\Mame-Biram-Diouf,sn SEN,MFFW,Stoke City,28,1987,27,15,1385,1,2,0,0,3,0,0.06,0.13,0.19,0.06,0.19,Matches
60,Daley Blind\Daley-Blind,nl NED,DF,Manchester Utd,26,1990,23,20,1830,1,2,0,0,2,0,0.05,0.10,0.15,0.05,0.15,Matches
61,Yannick Bolasie\Yannick-Bolasie,cd COD,MFFW,Everton,27,1989,13,12,1023,1,4,0,0,2,0,0.09,0.35,0.44,0.09,0.44,Matches
62,Yannick Bolasie\Yannick-Bolasie,cd COD,FWMF,Crystal Palace,27,1989,1,0,25,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Wilfried Bony\Wilfried-Bony,ci CIV,FW,Stoke City,27,1988,10,9,684,2,0,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches
64,Fabio Borini\Fabio-Borini,it ITA,FWMF,Sunderland,25,1991,24,19,1741,2,0,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches
65,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,36,1980,35,35,3150,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Sofiane Boufal\Sofiane-Boufal,ma MAR,FWMF,Southampton,22,1993,24,12,1104,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,Matches
67,Jarrod Bowen\Jarrod-Bowen,eng ENG,MF,Hull City,19,1996,7,1,181,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
68,George Boyd\George-Boyd,sco SCO,MF,Burnley,30,1985,36,33,2836,2,1,0,0,3,0,0.06,0.03,0.10,0.06,0.10,Matches
69,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,24,1992,14,7,719,1,2,0,0,1,0,0.13,0.25,0.38,0.13,0.38,Matches
70,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,33,1983,22,22,1968,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
71,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,31,1985,27,27,2282,1,2,0,0,8,4,0.04,0.08,0.12,0.04,0.12,Matches
72,Leon Britton\Leon-Britton,eng ENG,MF,Swansea City,33,1982,16,16,1163,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Chris Brunt\Chris-Brunt,nir NIR,MFDF,West Brom,31,1984,31,27,2477,3,4,0,0,5,0,0.11,0.15,0.25,0.11,0.25,Matches
74,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,23,1993,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Sam Byram\Sam-Byram,eng ENG,DFMF,West Ham,22,1993,18,13,1249,0,1,0,0,6,2,0.00,0.07,0.07,0.00,0.07,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Manchester City,34,1981,17,16,1452,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Crystal Palace,30,1986,32,25,2125,4,2,0,1,7,0,0.17,0.08,0.25,0.17,0.25,Matches
78,Martín Cáceres\Martin-Caceres,uy URU,DF,Southampton,29,1987,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,30,1985,37,36,3296,6,0,0,0,5,0,0.16,0.00,0.16,0.16,0.16,Matches
80,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,West Ham,22,1993,16,4,540,1,0,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches
81,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,MFFW,Everton,19,1997,11,5,347,1,0,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches
82,Geoff Cameron\Geoff-Cameron,us USA,MFDF,Stoke City,31,1985,19,18,1629,0,2,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches
83,Fraizer Campbell\Fraizer-Campbell,eng ENG,FW,Crystal Palace,28,1987,12,0,165,1,0,0,0,0,0,0.55,0.00,0.55,0.55,0.55,Matches
84,Emre Can\Emre-Can,de GER,MF,Liverpool,22,1994,32,26,2371,5,2,0,0,6,0,0.19,0.08,0.27,0.19,0.27,Matches
85,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,28,1988,37,37,3203,7,1,0,0,5,0,0.20,0.03,0.22,0.20,0.22,Matches
86,Baily Cargill\Baily-Cargill,eng ENG,DF,Bournemouth,21,1995,1,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Michael Carrick\Michael-Carrick,eng ENG,MF,Manchester Utd,35,1981,23,18,1600,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,27,1989,18,15,1311,7,1,0,0,3,0,0.48,0.07,0.55,0.48,0.55,Matches
89,Tom Carroll\Tom-Carroll,eng ENG,MF,Tottenham,24,1992,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
90,Tom Carroll\Tom-Carroll,eng ENG,MF,Swansea City,24,1992,17,16,1387,1,2,0,0,1,0,0.06,0.13,0.19,0.06,0.19,Matches
91,Joel Castro Pereira\Joel-Castro-Pereira,pt POR,GK,Manchester Utd,20,1996,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,27,1989,15,13,1162,0,1,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches
93,Lee Cattermole\Lee-Cattermole,eng ENG,MF,Sunderland,28,1988,8,8,633,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
94,Santi Cazorla\Santi-Cazorla,es ESP,MF,Arsenal,31,1984,8,7,618,2,1,2,2,2,0,0.29,0.15,0.44,0.00,0.15,Matches
95,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,34,1982,35,35,3097,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Nacer Chadli\Nacer-Chadli,be BEL,MFFW,West Brom,26,1989,31,27,2134,5,4,1,1,2,0,0.21,0.17,0.38,0.17,0.34,Matches
97,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Chelsea,21,1994,10,1,167,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,21,1995,1,1,90,1,0,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches
99,Calum Chambers\Calum-Chambers,eng ENG,DF,Middlesbrough,21,1995,24,24,2160,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches
100,Ben Chilwell\Ben-Chilwell,eng ENG,DFMF,Leicester City,19,1996,12,7,699,1,0,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches
101,Lee Chung-yong\Lee-Chung-yong,kr KOR,MF,Crystal Palace,28,1988,15,4,471,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
102,Jordy Clasie\Jordy-Clasie,nl NED,MF,Southampton,25,1991,16,12,1021,1,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches
103,Adam Clayton\Adam-Clayton,eng ENG,MF,Middlesbrough,27,1989,34,32,2804,0,2,0,0,10,0,0.00,0.06,0.06,0.00,0.06,Matches
104,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Everton,26,1989,10,4,406,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
105,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,26,1989,17,16,1441,0,2,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches
106,Gaël Clichy\Gael-Clichy,fr FRA,DF,Manchester City,31,1985,25,24,2123,1,0,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches
107,Sam Clucas\Sam-Clucas,eng ENG,MF,Hull City,25,1990,37,36,3185,3,1,0,0,9,1,0.08,0.03,0.11,0.08,0.11,Matches
108,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,25,1991,37,37,3323,0,2,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches
109,Séamus Coleman\Seamus-Coleman,ie IRL,DFMF,Everton,27,1988,26,26,2316,4,3,0,0,3,0,0.16,0.12,0.27,0.16,0.27,Matches
110,James Collins\James-Collins,wal WAL,DF,West Ham,32,1983,22,19,1655,2,0,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches
111,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,19,1997,6,4,432,0,1,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches
112,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,25,1991,38,38,3420,2,0,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches
113,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Arsenal,25,1991,29,22,1779,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
114,Jack Cork\Jack-Cork,eng ENG,MF,Swansea City,27,1989,30,25,2232,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
115,Diego Costa\Diego-Costa,es ESP,FW,Chelsea,27,1988,35,35,3082,20,7,0,1,10,0,0.58,0.20,0.79,0.58,0.79,Matches
116,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,24,1992,36,36,3240,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
117,Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,Liverpool,24,1992,31,28,2227,13,8,0,0,2,0,0.53,0.32,0.85,0.53,0.85,Matches
118,Aaron Cresswell\Aaron-Cresswell,eng ENG,DFMF,West Ham,26,1989,26,24,2116,0,2,0,0,3,2,0.00,0.09,0.09,0.00,0.09,Matches
119,Peter Crouch\Peter-Crouch,eng ENG,FW,Stoke City,35,1981,27,13,1343,7,2,0,0,3,0,0.47,0.13,0.60,0.47,0.60,Matches
